year,region_code,region_name,unemployment_rate,employment_thousands,participation_rate,youth_unemployment_rate,prime_age_unemployment_rate
1996,NL,Newfoundland and Labrador,18.9,188.8,52.5,27.9,17.0
1996,NS,Nova Scotia,12.4,376.8,59.4,17.7,11.3
1996,ON,Ontario,9.0,5165.9,65.6,14.9,8.1
1996,PE,Prince Edward Island,14.6,58.8,66.1,17.4,14.0
1996,QC,Quebec,11.8,3132.7,61.9,18.4,10.7
1996,SK,Saskatchewan,6.6,454.6,65.3,11.9,5.8
1997,AB,Alberta,5.9,1453.2,72.2,10.9,4.8
1997,BC,British Columbia,8.5,1859.9,65.6,15.3,7.2
1997,CA,Canada,9.1,13708.2,64.9,16.3,7.8
1997,MB,Manitoba,6.5,524.9,66.6,11.6,5.3
1997,NB,New Brunswick,12.6,310.1,59.9,20.4,11.2
1997,NL,Newfoundland and Labrador,18.1,189.6,52.7,26.1,16.8
1997,NS,Nova Scotia,12.1,382.3,59.7,20.6,10.5
1997,ON,Ontario,8.4,5290.7,65.8,16.5,7.0
1997,PE,Prince Edward Island,15.3,58.6,65.8,17.2,15.2
1997,QC,Quebec,11.4,3174.5,62.1,19.3,10.1
1997,SK,Saskatchewan,5.9,464.4,66.2,10.3,5.1
1998,AB,Alberta,5.6,1508.9,72.6,10.2,4.6
1998,BC,British Columbia,8.8,1857.7,64.9,17.4,7.5
1998,CA,Canada,8.3,14047.0,65.1,15.1,7.1
1998,MB,Manitoba,5.5,534.8,67.0,10.6,4.5
1998,NB,New Brunswick,12.2,316.1,60.6,18.1,10.9
1998,NL,Newfoundland and Labrador,17.6,193.7,54.2,27.4,16.1
1998,NS,Nova Scotia,10.5,395.9,60.5,19.0,8.7
1998,ON,Ontario,7.2,5453.9,65.9,14.5,5.9
1998,PE,Prince Edward Island,13.9,59.6,65.6,16.8,13.3
1998,QC,Quebec,10.3,3257.7,62.6,17.3,9.0
1998,SK,Saskatchewan,5.8,468.7,66.5,10.9,4.9
1999,AB,Alberta,5.7,1543.2,72.6,11.9,4.5
1999,BC,British Columbia,8.3,1893.7,65.1,14.3,7.3
1999,CA,Canada,7.6,14402.0,65.5,14.1,6.4
1999,MB,Manitoba,5.6,541.8,67.5,10.3,4.7
1999,NB,New Brunswick,10.2,325.7,60.8,16.4,9.0
1999,NL,Newfoundland and Labrador,16.7,201.9,56.2,26.8,15.0
1999,NS,Nova Scotia,9.6,403.7,60.8,18.2,7.9
1999,ON,Ontario,6.3,5635.3,66.5,13.2,5.2
1999,PE,Prince Edward Island,14.3,60.3,66.2,17.6,13.3
1999,QC,Quebec,9.3,3326.6,62.8,15.8,8.1
1999,SK,Saskatchewan,6.0,469.6,66.8,11.8,5.1
2000,AB,Alberta,5.0,1583.1,72.2,10.6,3.7
2000,BC,British Columbia,7.2,1930.8,64.8,13.8,6.1
2000,CA,Canada,6.8,14760.1,65.8,12.7,5.7
2000,MB,Manitoba,5.0,552.2,67.9,9.3,4.1
2000,NB,New Brunswick,10.0,331.6,61.6,15.7,8.8
2000,NL,Newfoundland and Labrador,16.6,198.8,55.5,25.4,15.0
2000,NS,Nova Scotia,9.1,411.7,61.2,15.8,7.8
2000,ON,Ontario,5.7,5814.9,67.0,11.8,4.6
2000,PE,Prince Edward Island,12.0,62.8,66.8,14.6,11.6
2000,QC,Quebec,8.5,3401.5,63.1,14.0,7.5
2000,SK,Saskatchewan,5.1,472.9,66.7,10.5,4.2
2001,AB,Alberta,4.7,1627.4,72.3,9.2,3.8
2001,BC,British Columbia,7.7,1920.9,64.0,14.0,6.7
2001,CA,Canada,7.2,14932.3,65.9,12.9,6.2
2001,MB,Manitoba,5.0,549.9,67.7,9.8,4.0
2001,NB,New Brunswick,11.1,330.0,61.9,17.0,9.7
2001,NL,Newfoundland and Labrador,16.0,203.7,56.8,24.6,14.3
2001,NS,Nova Scotia,9.7,415.4,62.0,17.6,8.3
2001,ON,Ontario,6.3,5921.3,67.3,12.5,5.2
2001,PE,Prince Edward Island,11.9,63.8,67.1,16.2,10.8
2001,QC,Quebec,8.8,3441.3,63.6,13.6,7.8
2001,SK,Saskatchewan,5.8,458.6,65.6,11.6,4.7
2002,AB,Alberta,5.3,1673.8,72.9,10.6,4.3
2002,BC,British Columbia,8.5,1952.4,65.0,15.1,7.5
2002,CA,Canada,7.7,15291.3,66.9,13.6,6.6
2002,MB,Manitoba,5.1,563.3,68.9,10.1,3.8
2002,NB,New Brunswick,10.1,341.9,63.3,15.2,9.0
2002,NL,Newfoundland and Labrador,16.7,206.5,58.2,22.7,15.6
2002,NS,Nova Scotia,9.6,422.5,62.6,17.9,8.0
2002,ON,Ontario,7.1,6034.2,67.8,13.9,5.9
